Mode1,Mode2,Mode3,Mode4,Mode5,Mode6,Mode7,Mode8,Mode9,Mode10,Mode11,Mode12,Mode13,Mode14,Mode15,Mode16,Mode17,Mode18
0,0,0,0,0,0,0,0,-12,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,-11,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0